ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
23.51038066,18.82786766,36.46157603,36.46157603,4.322142689,0
22.32651801,17.7221248,36.77312168,36.77312168,4.282764497,0
22.32651801,17.7221248,36.77312168,36.77312168,4.282764497,0
25.20272538,19.32652367,40.99142868,40.99142868,4.397395262,0
21.92516774,18.91927984,34.497883,34.497883,4.267955552,0
20.74130509,17.81141403,34.79560569,34.79560569,4.226338356,0
20.74130509,17.81141403,34.79560569,34.79560569,4.226338356,0
23.61751246,19.42838088,39.01211008,39.01211008,4.347239515,0
14.04932485,11.77124246,23.95857562,23.95857562,3.83777931,1
15.4230983,12.55839269,25.90857973,25.90857973,3.94764904,0
16.13020508,13.32236061,26.31466217,26.31466217,3.972644969,1
16.83731186,13.93604076,28.43034031,28.43034031,4.008775219,1
14.93477112,12.56175832,24.69184104,24.69184104,3.890097317,1
18.28003499,14.68132627,31.10967525,31.10967525,4.090844861,1
15.49204798,13.11348376,26.62780002,26.62780002,3.936040826,1
15.49204798,13.11348376,26.62780002,26.62780002,3.936040826,1
17.54441864,13.88030536,29.9006092,29.9006092,4.047899897,1
15.60143778,13.22121432,26.23289664,26.23289664,3.940197427,1
15.60143778,13.22121432,26.23289664,26.23289664,3.940197427,1
14.82538132,12.50780069,24.90590001,24.90590001,3.890302948,0
15.56099767,13.3487312,25.94939816,25.94939816,3.940402129,1
16.93477112,14.13395742,28.00560798,28.00560798,4.040071821,1
14.82538132,12.50780069,24.90590001,24.90590001,3.890302948,1
15.4230983,13.04627509,26.41547175,26.41547175,3.936039499,1
16.79687175,13.83319799,28.36634912,28.36634912,4.036123863,1
16.79687175,13.83319799,28.36634912,28.36634912,4.036123863,1
15.6418779,13.11681893,25.77513719,25.77513719,3.940000285,1
16.37749425,13.95642357,27.18724953,27.18724953,3.987723274,1
14.82538132,12.51520347,24.72494216,24.72494216,3.89030767,1
14.86582143,12.38954669,24.8244831,24.8244831,3.890092516,1
16.97521123,14.03661323,27.69589773,27.69589773,4.03989744,1
19.09653158,15.58517689,31.70856578,31.70856578,4.153535251,1
22.57081515,18.95526958,35.77267967,35.77267967,4.292036286,1
23.16853214,19.53520326,36.95179202,36.95179202,4.32287531,1
21.8351988,18.13943602,34.42793673,34.42793673,4.257017201,1
12.22766434,11.11491379,20.14722688,20.14722688,3.699344626,0
16.30890379,14.14935427,25.00701087,25.00701087,3.96413383,0
12.96328069,11.87119528,21.22562212,21.22562212,3.759816093,0
